block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,299.42437321,-252.965506372,Aspraybottle4.png,273,-219,43.0337440003,2.23256538156,5,1.796
1,1,-91.3006793097,167.500816924,8048786.thl.png,-96,172,6.50586376291,1.68441157322,5,1.293
1,2,-365.186855813,70.4012395656,8023968.thl.png,-379,-24,95.4064829236,2.15846945811,5,0.982
1,10,-221.694064218,-159.112356754,A4DOMINO.png,-254,-178,37.4221398925,3.78818253987,4,0.903
1,1,195.946767332,-124.726070857,Apants8.png,181,-120,15.6761474675,2.32325983141,5,1.022
1,23,-237.197419455,219.506158718,8059226.thl.png,-324,188,92.3435218431,2.50359098706,4,1.459
1,23,-44.5035625378,-197.191630826,ADECKCARD.png,-124,-163,86.5375709605,4.2205188591,3,1.14
1,12,222.867331152,94.5017372424,Aclothespin2.png,226,39,55.5900751127,2.65850382764,4,0.915
1,2,-250.926756552,341.17525708,26424973.thl.png,-264,328,18.5606328924,2.35985308047,5,0.95
1,11,-48.6044276327,282.011071277,Adecorati133.png,-115,246,75.5325710175,2.34829405788,5,1.038
1,12,215.72053153,-345.013126105,Athermosand12.png,205,-328,20.1091087853,2.09763940703,5,1.249
1,24,-286.287612675,-3.83527800464,8079958.thl.png,-256,-58,62.0576876012,2.92678026482,5,1.411
1,25,133.678803438,139.088462601,Ajacket12.png,135,181,41.9323565697,2.59123606235,5,2.471
1,24,231.958466666,-255.031588203,26685948.thl.png,-36,258,578.794566623,5.01290204097,3,4.7
1,11,-284.211371402,-300.035683655,Anailpolish.png,-249,-306,35.7129352681,2.83924212307,5,1.152
1,25,-307.804660867,-113.706169915,AFISHHOO9.png,-274,-100,36.4775847618,2.86725671869,5,0.874
1,10,-195.207182961,-358.086911025,26422507.thl.png,-208,-309,50.7265315365,2.58776258864,4,4.402
1,0,32.6164502757,175.847573071,26433942.thl.png,43,173,10.7669297978,1.93924310617,5,1.184
1,0,-55.4558547202,-253.559279554,23029830.thl.png,-74,-232,28.4374376315,2.20566836372,5,1.294
1,0,-305.103674112,-247.742214511,Aflashlight3.png,-288,-248,17.105616665,2.2821144592,5,1.299
1,10,287.397436644,181.42296377,Abandage3.png,326,101,89.2076846424,2.65022561047,5,2.233
1,1,-331.782058958,143.960087413,26372785.thl.png,-316,99,47.6495838926,2.1165595213,5,1.136
