block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,176.342121867,136.227567643,Abottleopener.png,205,152,32.7115209301,3.1390998261,5,2.261
1,1,-282.041316453,-172.167448453,Agarbagebag.png,-233,-234,78.919675305,3.82185440417,5,2.116
1,2,-404.884130069,117.399792092,ADECKCARD.png,-112,-252,471.420534177,5.01324083284,4,4.0
1,10,-125.625662555,-291.101731626,26687325.thl.png,-135,-294,9.81214360334,4.58253588155,4,2.534
1,1,-194.573323221,-269.192251826,22925228.thl.png,-166,-243,38.7616931463,5.0088469293,4,4.869
1,23,-97.8806357102,-176.800953609,8026164.thl.png,-66,-309,135.988833365,4.14800109155,4,2.757
1,23,-219.457266747,62.5342552569,Aairtank7.png,-290,-62,143.126021209,5.01322693285,3,3.209
1,12,193.198861824,-255.110498881,8245563.thl.png,-14,359,648.122730027,4.59866732731,4,1.983
1,2,214.027575381,371.078011261,ADANGEAR5.png,252,326,58.9400723673,3.66059527732,5,2.113
1,11,-319.834576137,160.043178619,Athermosand12.png,-217,-236,409.176183789,4.5445140712,4,1.917
1,12,266.090367409,62.5412632709,Adayplanner.png,401,56,135.068120187,3.09640242346,5,1.346
1,24,-190.012615451,134.964472681,ABLACSUI3.png,-105,380,259.363749267,3.9077864103,5,1.56
1,25,-359.314814966,-17.6859332674,ABABYPIN2.png,-284,-232,227.162586164,3.67328104656,4,1.72
1,24,-66.1702138243,264.413941979,Aashtray67.png,329,-205,613.603248702,5.00974688306,3,3.132
1,11,160.917518991,-124.968623942,Atennisball2.png,142,-301,177.044960058,3.46348390821,5,1.433
1,25,60.5779224612,345.33391219,ADOGLEAS2.png,185,370,126.843483344,2.74491309095,5,1.692
1,10,86.6970264618,-395.27324393,Abackpack11.png,25,-394,61.7101630555,3.41165965982,5,1.641
1,0,243.465631002,217.765193152,AFISHNET3.png,240,233,15.6240179833,4.24805069808,5,1.94
1,0,279.752712162,143.807145656,26444138.thl.png,329,176,58.8360028409,3.1947236089,5,2.059
1,0,-141.904870372,-237.065246613,Abikinitop5.png,-166,-254,29.4509956378,3.65581442881,5,2.566
1,10,110.560636261,314.297417962,Atoothbrush3.png,30,-388,706.90287833,4.16830390412,4,1.415
1,1,-219.760049949,308.174264135,Abinder6.png,-52,-230,563.715329698,5.01048930455,1,3.523
1,2,-133.369051889,137.875536795,Alock34.png,-317,-161,350.780432177,3.39742712304,4,1.886
1,12,-111.825715492,222.614202761,045.png,-105,-371,593.653444453,3.28011613991,4,1.129
1,11,58.657487107,-135.3240896,Akazoo2.png,193,-303,214.856048784,4.17300881073,2,2.233
1,23,294.919817121,-243.343446946,AKNEEBRA2.png,13,-392,318.712337464,4.852445608,3,1.994
1,24,33.2254484182,207.174192638,26418207.thl.png,-19,412,211.379064299,5.01004154887,NA,NA
1,23,92.5184131246,179.479476186,Awatch28.png,-292,-173,521.628403334,5.00817819778,NA,NA
1,24,319.901549113,-97.2389803444,ANAILFILE.png,-125,-363,518.233835225,4.06851753872,2,1.552
1,25,284.765543555,291.226476589,Alipstick3.png,202,-312,608.877916546,4.24518767279,2,1.138
1,25,184.853078461,298.762707427,26424973.thl.png,-225,325,410.692027492,4.60037848167,2,1.234
1,12,7.58894817903,383.656539645,Abaseballcap.png,-2,400,18.9487895008,2.51094759908,4,1.374
1,11,58.004592995,399.878244677,Asafetybelt.png,-172,-331,766.214801046,4.04629058763,3,1.549
1,10,238.777552053,-210.491301716,ABISHOP2.png,307,-260,84.2936154741,3.02950312849,4,1.597
1,1,12.7940334244,-346.916810498,8250565.thl.png,7,-404,57.3764877543,2.6342542721,5,2.154
1,2,245.287312344,-18.1578418786,22949719.thl.png,219,-197,180.763769356,2.78745154105,5,1.758
1,0,365.316697815,81.3734054124,Ahotwaterbot2.png,367,97,15.7169960441,2.25759983808,5,1.782
1,0,400.590369426,-25.5147835409,ATIE16.png,415,-4,25.8944658968,2.42888843548,5,1.678
1,11,158.166411947,-174.952365944,Anailscissors.png,-11,-210,172.758824909,3.40075537562,3,1.684
1,12,-257.040825119,-296.936516012,Aspraybottle4.png,-203,-310,55.5973505973,3.27409793902,4,1.323
1,2,-206.392108037,191.305521855,26685948.thl.png,-325,-193,402.192200527,5.01299255807,3,2.608
1,1,-405.681105495,4.99761297197,Ajacket12.png,-419,29,27.4500916918,2.87921092007,5,2.258
1,24,78.2573974188,-271.590632587,AWINTSOC2.png,8,-413,157.900953399,2.38578729425,5,2.253
1,25,-305.141271517,-35.0037346445,Athimble2.png,-390,-12,87.9214172281,2.35440477263,5,2.554
1,23,-245.665822673,-241.087548567,26432848.thl.png,-63,400,666.603366104,5.01184292976,4,1.646
1,10,290.995720782,2.98908359493,8080484.thl.png,233,-322,330.12332254,2.76388812996,4,1.613
1,24,-136.387085764,275.241766552,A4DOMINO.png,-123,359,84.8213165161,2.94287618622,5,1.896
1,25,-171.553813766,-73.1902861866,APOWEDCAS.png,-273,-253,206.45305007,2.55741408281,4,1.235
1,12,-361.664149474,-124.951210756,Aflask19.png,-447,-9,143.968366875,3.84290898871,4,1.148
1,11,-172.955212208,229.844460151,8023968.thl.png,-158,380,150.898457645,3.74627425056,4,1.611
1,23,232.914637961,321.442223371,Aenvelope2.png,176,387,86.8164620949,2.74968969543,4,1.741
1,10,-237.388836851,252.128905892,Agluegun.png,-217,360,109.781043956,3.41876203939,4,1.355
1,1,-210.383197703,-120.741466645,ACANE2.png,-225,-167,48.5129139257,3.33330450393,5,2.242
1,2,20.9054788323,266.462349275,Aelasticbands.png,92,388,140.804231058,3.26062386855,5,1.67
2,2,127.410804776,233.154587264,A_teabag.png,-27,414,237.797729046,3.50739804935,5,1.614
2,1,228.736717859,-248.950828743,26687931.thl.png,226,-345,96.0881518391,3.91082996689,3,1.521
2,10,202.801340603,319.837531017,ACOMPAS20.png,-4,-7,386.768103851,3.11182957422,4,2.325
2,12,-160.03092942,-319.756692194,AANTHAT2.png,-93,-406,109.229362537,3.86891660001,5,1.945
2,10,-255.812760871,-249.046966304,26439297.thl.png,-257,-262,13.0073294217,3.68153050635,3,1.553
2,2,-7.21311876696,209.213842539,8059226.thl.png,-6,-389,598.215072581,5.00336224213,NA,NA
2,12,179.24189938,-379.000859825,AAXE4.png,325,-272,180.816503394,2.99544473179,3,2.086
2,25,-55.5038183895,363.20200227,8244991.thl.png,-364,197,350.418320906,4.10080696549,4,1.671
2,11,392.908726973,-142.060328283,Ablouse2.png,328,-267,140.79440474,2.9541520467,4,1.863
2,24,-33.6883855706,-401.422121121,Aearsyringe.png,-223,-360,193.790297683,4.33766959328,4,1.681
2,1,-123.739417469,-269.75427462,ASTAMPS.png,-183,-354,103.000771292,3.29604588263,4,1.665
2,23,-257.734629193,46.2953483077,Anailbrush3.png,-402,-47,171.80372298,2.89980108105,5,2.712
2,24,292.884256427,100.83881778,Ababybottle15.png,297,-297,397.860106417,3.1307615675,4,1.949
2,0,101.734891014,-366.061571241,ABROKUMBR.png,171,-395,75.0672230863,2.2987738857,5,4.204
2,25,83.5637037535,258.56438173,26387436.thl.png,-396,-118,609.739353778,5.00560303777,NA,NA
2,11,-214.697159579,-130.932687183,26432899.thl.png,-173,-379,251.547301328,2.77276402712,4,1.506
2,23,149.321710708,-181.543192718,A52ZX.png,126,-392,211.745058789,2.60534190852,4,1.06
2,0,-87.9396082477,282.724625355,26375982.thl.png,-96,333,50.917415595,2.67098064814,5,2.535
2,1,68.4935251387,193.714719854,Apaperclip6.png,-203,-371,626.587143988,3.63799398858,3,1.246
2,1,-305.017520136,-107.439031075,26372785.thl.png,-373,-125,70.213995742,3.4675306743,4,2.531
2,11,-196.466725218,247.878611895,ACUPEANE2.png,-403,133,236.332581468,2.99760701042,4,1.83
2,12,54.1121650065,-323.116749579,Ashovel8.png,-49,-438,154.370592405,2.63141394779,4,2.142
2,10,-265.164969295,103.449878141,26440756.thl.png,-425,-2,191.486066962,2.7439376004,4,2.173
2,2,370.645929128,-4.41090219544,ACOMB11.png,-175,-382,663.553318698,2.83609872404,4,2.098
2,25,352.943523934,-82.9688175648,ACOLOGNE.png,309,-292,213.60025404,3.05405755714,5,1.389
2,23,-329.951064454,-25.9547094842,26422507.thl.png,0,-410,506.318565828,3.87310842145,3,1.028
2,11,187.92299173,-105.885777402,8079958.thl.png,219,-355,251.045167935,2.5625884952,4,1.299
2,24,237.915622866,6.68776686018,APLASCONT.png,257,-332,339.225023946,3.26959909126,4,2.84
2,23,-308.146944365,76.8313354791,Adiamondring3.png,-403,-125,223.008946333,3.89786798041,5,1.807
2,12,-114.335337159,-175.707442733,A1OCLOC2.png,-253,-337,212.704437543,3.78183991089,4,1.659
2,0,-22.8279497083,-171.986164898,Ahighlightin2.png,-48,-136,43.9162405037,2.76844400913,5,4.035
2,24,-75.8558613718,131.489593692,Aflashlight3.png,-214,-379,528.85104548,4.61882407498,4,1.509
2,0,295.490390976,-208.614522805,Aruler12.png,289,-280,71.6799241725,3.15667809732,5,2.764
2,25,-182.692288158,-374.87547926,Aclothespin2.png,-318,-283,163.552072971,3.63123080879,4,1.38
2,2,-190.427512397,50.9299956937,AFISHHOO9.png,-143,48,47.5179314254,2.73478943203,5,1.721
2,10,72.8863287731,-223.557184387,Afloweredsan3.png,1,-451,238.532762191,2.69494678732,5,2.147
2,1,-188.602914567,-183.531767246,26433942.thl.png,-279,-240,106.584681663,3.28695663065,5,2.179
2,2,252.354603765,292.172259756,Ablanket2.png,241,310,21.1365879194,3.58818151429,3,2.219
2,10,256.66819632,159.720842586,Adecorati133.png,90,397,289.964974105,3.44344239775,5,1.627
2,11,119.946214081,306.007847651,Aspoolofthre6.png,300,301,180.123414252,3.24744545389,4,1.126
2,11,181.307938197,173.916055828,Agreenlighter.png,118,-338,515.81580361,5.00131073035,3,1.995
2,12,-125.848270501,242.495966654,ABLUCAND5.png,-233,302,122.565179064,3.33925321419,4,2.143
2,23,151.81606404,-297.765950952,8048786.thl.png,133,-371,75.6126325815,3.40694946051,5,1.365
2,25,-211.551890881,358.522876589,Anailpolish.png,-133,396,87.0340987203,3.35023951996,4,1.93
2,2,-284.031895884,283.579424342,Ascarf7.png,-316,-235,519.563835377,4.61458995659,3,1.309
2,0,-420.783056298,-59.1002892972,Abandage3.png,-410,-73,17.5919373789,2.72135739122,5,3.517
2,24,109.39835824,394.519784984,23029830.thl.png,-3,429,117.568176658,3.13900271431,4,1.572
2,1,381.118757891,59.7532567471,26432607.thl.png,319,270,219.231460175,5.01689673588,0,4.673
2,25,-66.9093035616,-215.363544522,Acamera101.png,159,-22,297.362529223,5.0013697613,3,2.63
2,24,206.10875601,-176.448175983,Alanter59.png,162,-349,178.100292892,4.75974886771,3,1.81
2,23,334.038011588,-133.577298962,Apants8.png,206,-304,213.161041095,5.01371184923,3,1.517
2,12,214.97629012,225.600117784,26425322.thl.png,226,333,107.964146269,2.65210969839,4,2.215
2,10,191.580463329,372.907087085,AKEYHOL10.png,-387,-53,718.437331558,5.0068755066,0,3.13
2,0,356.765741982,-222.860175364,ACASSETT2.png,324,-270,57.408683266,2.49053930957,4,2.01
