block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,150.317290969,378.582430097,26444138.thl.png,114,329,61.4602554307,2.79854738479,4,1.426
1,1,366.340177396,209.509458455,26440756.thl.png,263,114,140.716910564,2.85725708655,5,1.548
1,2,-310.05058549,5.40350673823,AKEYHOL10.png,-260,-87,105.087911604,2.64384223626,4,1.727
1,10,-75.1231441524,121.010566043,8080484.thl.png,-94,97,30.5424780981,2.72154863516,5,1.958
1,1,-188.460497762,287.262518173,23029830.thl.png,-118,337,86.2467323638,2.84694765392,4,1.516
1,23,-235.051717708,-179.520893059,8059226.thl.png,-257,-204,32.8778614296,2.77075415547,4,1.636
1,23,42.6792552653,-216.570980457,Anailpolish.png,72,-302,90.3206701256,3.64200545114,5,1.474
1,12,177.942732815,308.525597369,ANAILFILE.png,179,318,9.53321137433,3.12542825751,5,1.975
1,2,-320.227814959,262.422842589,26687325.thl.png,-255,278,67.06202858,3.39527368348,4,1.329
1,11,99.4144234606,412.530020502,22925228.thl.png,10,352,107.976027454,5.17603701924,3,1.617
1,12,20.5334204759,-148.239239697,Aspoolofthre6.png,30,-112,37.4552883009,4.08891320182,4,1.492
1,24,-348.770241067,111.39021216,Agreenlighter.png,-237,246,174.963944201,2.56526209705,3,1.432
1,25,-180.440810403,-226.22074217,Agarbagebag.png,0,0,289.369504694,1.36752128368,NA,NA
1,24,-41.5632704105,-277.373727803,Ashovel8.png,-1,-348,81.4459896551,3.63687581266,3,0.403
1,11,260.40317632,337.448215091,Ajacket12.png,245,332,16.3383257535,2.93779256917,5,2.059
1,25,-159.940845416,-331.398896214,Aspraybottle4.png,-200,-279,65.9574119447,3.0160312868,4,1.559
1,10,148.225617919,-360.859968737,26424973.thl.png,197,-326,59.9512949625,3.01617552876,5,2.15
1,0,254.083578543,-175.292130909,Asafetybelt.png,251,-190,15.027636868,2.94493401656,5,3.33
1,0,-322.618782713,-204.996514223,Acamera101.png,-285,-217,39.4874218403,2.79449401703,5,1.578
1,0,-48.1117235071,217.739227219,26372785.thl.png,-38,222,10.9727451888,3.28015026601,4,1.253
1,10,192.048323193,124.206872483,AFISHNET3.png,162,187,69.6123450984,3.0540181637,4,2.337
1,1,-196.221555639,14.1112070361,Athimble2.png,-176,-7,29.2334461699,2.92880153982,5,3.409
1,2,253.418508385,91.7458911625,Agluegun.png,218,114,41.8296078918,2.38601082552,4,1.85
1,12,76.3352502275,222.006617847,ADECKCARD.png,127,253,59.3928161213,4.43571518525,2,1.931
1,11,-193.117836352,80.2055325738,Awatch28.png,-246,142,81.3331386127,2.78911138594,4,1.508
1,23,327.779563297,-20.0909958312,22949719.thl.png,293,22,54.6010068881,3.79761411704,5,1.948
1,24,315.35032002,-266.862710377,APLASCONT.png,177,-282,139.175962676,2.6841379262,4,1.521
1,23,24.659694319,418.566810102,Aruler12.png,-6,363,63.4640625918,3.58104257169,4,2.04
1,24,366.656081106,-162.832688799,Alipstick3.png,285,-231,106.369628645,4.0389241596,5,1.86
1,25,-240.093161178,-257.089759867,ASTAMPS.png,-236,-204,53.2473151548,2.67686273612,3,1.287
1,25,123.038553051,200.61929852,26375982.thl.png,0,0,235.343554141,1.58957779582,NA,NA
1,12,166.320426823,-20.8978631959,26387436.thl.png,1,4,167.184769392,0.308484469773,NA,NA
1,11,-242.393458576,-62.4775845686,8026164.thl.png,-224,11,75.7448001676,3.28097995592,4,1.781
1,10,-250.894069012,228.626574034,Aelasticbands.png,-217,267,51.198903646,3.2960619512,4,1.617
1,1,-263.35124129,44.5807237161,ABROKUMBR.png,-212,57,52.831698869,2.61178792117,4,1.321
1,2,416.416322415,-81.801549749,Aflashlight3.png,269,-136,157.063821818,2.40414887643,4,1.553
1,0,-382.068313658,-45.8956986168,AANTHAT2.png,-326,-18,62.6244824149,3.05011004838,4,1.543
1,0,82.7146610615,-180.226972791,ADANGEAR5.png,107,-201,31.9577274973,3.00448779005,5,1.742
1,11,-52.7627380644,-381.167235214,Abikinitop5.png,-97,-343,58.426647922,2.81474806822,4,1.394
1,12,65.2469737236,-407.659481028,Ahotwaterbot2.png,98,-346,69.8187104647,3.85539783235,4,1.632
1,2,234.832750865,-126.270646577,Aflask19.png,269,-193,74.9680433363,5.00724067015,3,2.025
1,1,-175.875712288,-152.274248897,Abinder6.png,-245,-88,94.3893332057,3.64502852072,3,2.037
1,24,309.769050346,-180.309329236,AKNEEBRA2.png,263,-258,90.6817754239,3.55414413824,4,1.852
1,25,-94.3863836765,-343.732966915,Adecorati133.png,-110,-327,22.8861791581,2.47019441437,5,2.651
1,23,217.740629212,-248.910546502,Apants8.png,-1,1,332.11856937,1.85514702019,2,0.406
1,10,-364.794363468,223.087869674,ABISHOP2.png,-286,292,104.677759913,3.39808326075,4,1.451
1,24,302.529808579,262.328525303,8048786.thl.png,240,273,63.4338815865,2.35432976612,4,1.502
1,25,-81.2547144409,336.478735389,Anailscissors.png,-201,212,172.724893914,3.87629858602,3,1.184
1,12,-115.552604056,-109.799756039,26685948.thl.png,-152,-115,36.8165072804,3.00941130437,5,2.7
1,11,-136.031030812,266.485474337,Akazoo2.png,-231,234,100.371366194,2.18782739143,4,1.317
1,23,-272.928502055,-111.358785477,Aclothespin2.png,-295,-10,103.734056196,3.31624539872,4,2.735
1,10,25.131276442,-320.082849758,8244991.thl.png,-4,-9,312.443868048,1.23146134452,5,3.978
1,1,104.191791418,-126.863470371,Alanter59.png,148,-238,119.459145138,3.24664583476,4,1.232
1,2,-316.827718601,178.609404907,26418207.thl.png,-246,175,70.9196272271,2.9430524318,4,1.407
2,2,25.8264663125,403.239024907,ACOMB11.png,8,375,33.3949910753,2.52331823029,5,1.834
2,1,183.737751477,-17.0740910439,ABLUCAND5.png,220,-5,38.2195544519,2.89358945878,5,2.606
2,10,-57.1696081334,-333.720224602,Atoothbrush3.png,-3,362,697.825893304,2.85574290506,4,1.773
2,12,-303.127487356,-44.0654946473,Abandage3.png,-282,-7,42.6640553092,2.41152080242,5,1.871
2,10,302.843179563,41.1413877498,ACASSETT2.png,344,12,50.4292013468,3.62253015186,5,2.986
2,2,364.412502428,-37.7207122624,045.png,355,-168,130.618865465,3.06398017157,4,1.293
2,12,78.3550520059,-240.344173459,Ahighlightin2.png,46,-351,115.289033901,4.15220931801,2,2.645
2,25,-22.535366331,-428.137340604,ATIE16.png,-106,-334,125.81011076,3.25916802138,3,1.35
2,11,-223.988972567,-49.9682584211,Abaseballcap.png,-193,-85,46.7711378824,3.1439772544,5,1.652
2,24,348.065638081,78.369179561,ABABYPIN2.png,341,75,7.82781019242,4.08115437801,4,1.824
2,1,-290.472427849,-313.507411529,Ablouse2.png,-237,-292,57.635659888,2.37145899853,5,2.075
2,23,176.997821373,-246.014893247,Adiamondring3.png,264,-283,94.5371736798,2.75998877303,5,1.617
2,24,129.459347005,408.827344863,ADOGLEAS2.png,173,370,58.3382479369,2.96443605213,5,1.64
2,0,-208.698997073,-342.463657898,26432848.thl.png,-188,-331,23.6614440012,2.22218399029,5,1.587
2,25,-238.73816571,-239.150761736,A4DOMINO.png,-210,-281,50.7665333821,2.10537783406,5,1.933
2,11,-278.572644976,235.851269982,Aenvelope2.png,-263,245,18.0611885683,3.61870798143,4,1.634
2,23,-78.1169532542,-277.234877616,26422507.thl.png,-121,-293,45.6891101029,3.19722286134,5,2.31
