block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,169.206179286,-302.200718771,ADOGLEAS2.png,137,-275,42.1558665648,2.77540181996,5,2.434
1,1,-150.573736969,-262.048009662,Aflask19.png,-151,-217,45.0500263559,1.78513692832,5,1.796
1,2,200.765677488,-40.7395642581,Apaperclip6.png,193,33,74.1473471126,4.37976572011,3,2.404
1,10,-146.690224675,148.534559947,AAXE4.png,-126,68,83.1498691694,3.74015253969,3,1.949
1,1,22.3732444216,274.791641253,Anailpolish.png,-247,-194,540.673235623,2.28819448501,3,3.093
1,23,-96.3328536035,110.133517343,Alock34.png,-106,137,28.5527863758,2.79504783638,3,3.004
1,23,-208.185008155,357.471884924,Abackpack11.png,-242,295,71.0365404524,2.22284357995,5,1.787
1,12,-387.400085384,17.4714100782,Ahotwaterbot2.png,-1,7,386.541946513,5.01349740895,0,2.091
1,2,224.413339889,-125.69271893,ABROKUMBR.png,222,-187,61.3547628275,2.13897964172,5,1.806
1,11,234.362794555,227.350377668,Aashtray67.png,213,184,48.3282964236,1.98366197664,5,2.208
1,12,148.761565698,-39.382632211,8026164.thl.png,197,-144,115.203038966,2.4563729912,5,2.303
1,24,197.733672604,126.590272501,ACUPEANE2.png,172,7,122.32765502,2.20881756069,5,1.735
1,25,89.6435216605,-253.944134345,26444138.thl.png,-95,14,325.403271682,5.00272073643,0,1.967
1,24,-114.21364782,354.629101365,Atennisball2.png,-211,314,104.96819445,2.08642346133,5,2.085
1,11,-261.230674235,-260.533769996,Athimble2.png,-228,-174,92.6950433402,3.14474484883,2,2.473
1,25,-70.6325441496,-235.904876505,A52ZX.png,-173,-269,107.584307482,1.99659896735,5,2.551
1,10,-216.699430706,229.500005733,ACANE2.png,-201,152,79.0741614763,3.46153812716,3,2.261
1,0,-64.1056725637,380.944057059,Ahighlightin2.png,-48,330,53.4292956936,2.24564131675,5,1.866
1,0,206.211121939,-218.988666031,ACOLOGNE.png,186,-190,35.3388201317,2.02330214623,5,1.791
1,0,92.9021402201,112.418220321,Awatch28.png,117,128,28.6966671226,1.75536696054,5,1.602
1,10,374.241467404,-57.4785520165,26387436.thl.png,350,-35,33.0595529715,1.7377472166,5,1.8
1,1,11.8231950851,-257.564120423,Aruler12.png,18,-284,27.1479031967,2.14828783739,5,1.628
1,2,-275.80116604,173.291184794,Ababybottle15.png,-368,80,131.163524441,2.3868174688,5,1.383
1,12,225.116196211,355.182002848,22949719.thl.png,293,271,108.142592998,2.0211666692,5,2.24
1,11,50.5393582748,232.153217049,22925228.thl.png,20,148,89.5232726366,4.22046763683,3,1.078
