block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,83.8854417421,127.249349301,26440756.thl.png,112,120,29.0341428551,1.50150325708,4,0.803
1,1,-23.2338404235,-375.169341941,Anailbrush3.png,-1,-349,34.3391630297,2.36014398746,4,1.203
1,2,9.55413992959,-227.795256326,Aflashlight3.png,-6,-193,38.1135295105,4.93795609847,4,0.985
1,10,32.1860182815,157.965662568,Adecorati133.png,38,131,27.5853102419,3.20592048764,4,1.367
1,1,-266.474948779,334.178136949,8080484.thl.png,-222,294,59.9358303318,1.80631730705,4,0.902
1,23,-334.031859565,155.431988288,Anailpolish.png,-394,17,150.862829247,3.60152374394,4,1.353
1,23,-210.835963431,-258.050609005,APOWEDCAS.png,-230,-283,31.4600128521,2.5129705146,4,1.349
1,12,362.792641269,-220.973550305,26432607.thl.png,339,-141,83.4377524082,2.77227848209,4,1.866
1,2,-194.630241959,-96.3570470601,AKNEEBRA2.png,-208,-147,52.3780403657,1.6626808662,4,0.767
1,11,362.320634705,-0.425467140467,Awatch28.png,365,-16,15.8033247191,3.69298772886,4,2.041
1,12,-272.941472085,-176.451489544,22949719.thl.png,-235,-140,52.6143173858,3.2152143456,4,0.905
1,24,246.676517898,-113.859416092,8059226.thl.png,-321,-223,578.07291584,5.00634245202,2,3.168
1,25,203.028624042,50.0196898003,A_teabag.png,234,-2,60.5415085346,2.52364461124,4,0.854
1,24,320.00997554,-130.64939109,Aairtank7.png,352,-14,120.956364474,2.37996838242,4,0.504
1,11,274.298834901,-327.733694666,26424973.thl.png,19,-393,263.509365515,3.8166193869,3,1.277
1,25,-397.633883038,-138.79891784,Acamera101.png,-362,-197,68.2432383822,4.20724266022,3,1.679
1,10,5.55948057904,404.145651105,Ablanket2.png,-4,390,17.072876563,1.70529758558,4,1.132
1,0,-318.119869136,-7.76764566047,26425322.thl.png,-332,-12,14.5110597837,1.49962868914,5,1.124
1,0,272.561243775,24.1710282129,ABLUCAND5.png,242,8,34.5758842916,1.252104491,5,0.863
1,0,-222.411664059,43.2107867929,Abandage3.png,-213,46,9.81626867333,1.84114715084,4,0.944
1,10,-32.3231686826,-175.088552211,26422507.thl.png,-191,-116,169.321569209,4.11889149249,2,2.823
1,1,204.785607475,-348.987074148,26687931.thl.png,233,-293,62.6945325941,1.44936005771,5,1.056
1,2,-347.841100408,-116.303189323,Apaperclip6.png,-261,-28,123.850030135,3.18481762335,4,1.04
1,12,-99.7311006079,-404.857999461,Athermosand12.png,-136,-371,49.616501193,2.74775713496,4,1.357
1,11,-31.1565813663,359.923886906,AKEYHOL10.png,-275,77,373.504402374,3.89846494049,3,1.423
1,23,280.918040828,-174.286621563,ACOLOGNE.png,367,-109,108.039097784,1.56163614057,4,0.714
1,24,-56.222699005,134.765127153,Alock34.png,-102,136,45.7939537203,2.3801171165,5,1.596
1,23,97.1157120098,402.475147177,ABLACSUI3.png,271,313,195.554461908,1.75811517239,4,1.319
1,24,272.743970183,309.668375477,Apants8.png,315,278,52.8058525283,1.65494089574,5,0.751
1,25,-233.593677198,-143.874426341,ADOGLEAS2.png,-220,-79,66.2833256016,3.47053724527,4,1.011
1,25,195.681248894,-90.4960798594,26685948.thl.png,177,-166,77.7806596581,2.070023017,4,0.879
1,12,49.6430342185,235.378509445,26372785.thl.png,103,156,95.6447257259,1.87034430541,4,1.063
1,11,15.4512094257,-150.502831469,AFISHHOO9.png,-56,-202,88.0751593531,2.19253997132,4,0.759
1,10,306.375819785,94.6664115396,Akazoo2.png,263,0,104.130644941,1.32436337508,4,0.937
1,1,249.668319374,118.245125985,8079958.thl.png,245,89,29.6153777559,1.65964463539,5,0.642
1,2,-49.5689611718,204.625790157,ANAILFILE.png,-123,158,86.983226953,2.34441119991,4,1.197
1,0,195.941870312,101.170316699,Ahighlightin2.png,176,106,20.5183827898,1.70489491709,5,0.775
1,0,-21.7988639399,-280.677863344,Adayplanner.png,-50,-233,55.3938871005,2.14043108933,4,0.81
1,11,-189.014279269,252.424559817,Abackpack11.png,-216,237,31.0828919006,2.57357232459,5,1.102
1,12,144.209999533,-308.496431142,26439297.thl.png,161,-261,50.3767316019,1.91240821593,4,1.134
1,2,173.695034453,-389.354851485,26432848.thl.png,238,-304,106.86711031,2.12662374228,4,1.157
1,1,50.2541736996,-344.180857838,Abikinitop5.png,6,-279,78.7843646819,2.38670310192,4,0.892
1,24,-184.216592067,349.890019251,22925228.thl.png,-247,350,62.7835042625,3.77592436597,5,1.382
1,25,-143.896982896,153.138038903,Agluegun.png,-162,90,65.6820461374,1.8844733648,5,0.942
1,23,189.154965616,-14.5988049689,AWINTSOC2.png,188,-17,2.6645230625,2.5664974954,4,0.853
1,10,154.621158745,211.804346769,26433942.thl.png,235,144,105.157917259,2.14975374937,4,1.219
1,24,194.695742352,-183.775363403,ASTAMPS.png,190,-219,35.5362493748,2.65572773106,4,0.998
1,25,-122.31780377,381.957101237,Aelasticbands.png,-178,374,56.2478660666,2.86297281459,4,1.514
1,12,266.192295163,211.89621173,Abaseballcap.png,166,193,101.958632925,2.45319161378,4,1.591
1,11,143.124944228,367.120060958,8048786.thl.png,226,336,88.5253244173,3.61645722762,4,1.503
1,23,-296.476979603,-94.1233486484,ABISHOP2.png,-277,-147,56.349738177,2.41809655912,4,0.961
1,10,-146.65672514,6.01146759777,A4DOMINO.png,-187,-21,48.5509959552,2.43244135566,4,1.005
1,1,-64.5271272256,308.756632003,8250565.thl.png,-141,339,82.2360114438,2.08549562097,4,0.813
1,2,-366.449347229,-214.295046899,8023968.thl.png,-349,-231,24.156472773,2.29694173299,4,0.973
2,2,-182.717822247,21.7332890041,A52ZX.png,-207,-21,49.1503626184,3.24569596723,4,0.738
2,1,-380.368470344,-145.868350706,8245563.thl.png,-374,-79,67.1709292829,1.82553016767,5,0.635
2,10,-312.254344045,-118.816342272,Athimble2.png,-289,-152,40.5206078086,2.30724687316,4,0.742
2,12,-352.728314753,188.035216885,Aspoolofthre6.png,-332,45,144.529361383,2.14264967665,4,0.761
2,10,-57.3269008835,-235.459238908,Atoothbrush3.png,7,-204,71.607498839,2.82555322535,3,1.58
2,2,264.980127995,-102.862421167,Aenvelope2.png,265,-21,81.8624235789,1.71833847463,3,0.976
2,12,385.811797149,-156.064880174,AAXE4.png,408,-68,90.8170659389,2.21928212978,4,1.995
2,25,-132.216206729,-296.326745735,Ajacket12.png,-101,-302,31.7275491725,2.40898018517,4,1.305
2,11,50.0248718791,-148.756874293,8026164.thl.png,138,-191,97.5915203148,2.19005497172,3,1.41
2,24,-150.344701428,353.757675034,26432899.thl.png,-195,338,47.3539862425,1.7750947047,3,1.718
2,1,216.952826813,-276.68812467,045.png,194,-268,24.5421223405,1.77494053729,4,1.198
2,23,118.208929684,256.020607088,Aruler12.png,118,-268,524.020648739,4.26007700525,1,1.359
2,24,7.07626650979,291.353391069,AANTHAT2.png,-61,215,102.294762278,5.00419252738,2,1.409
2,0,104.469376067,-229.934000645,Abottleopener.png,134,-225,29.939975154,1.37737914175,5,0.717
2,25,-160.416144091,286.348222247,ADECKCARD.png,-194,-166,453.593198304,3.94265085086,3,0.695
2,11,-307.059146318,-28.3219408221,8244991.thl.png,-271,-34,36.5034572226,1.30205489509,4,0.729
2,23,-232.56583283,41.1581136077,Aclothespin2.png,-283,25,52.9593226306,2.90015597269,4,1.247
2,0,106.67604747,153.522865635,ABROKUMBR.png,153,166,47.9748627927,1.95576361194,4,1.743
2,1,360.532712213,228.463778364,Ablouse2.png,335,140,92.0747493906,1.85640663281,4,0.736
2,1,28.2133405255,-225.782397248,ADANGEAR5.png,37,-192,34.9063854985,2.69296141155,4,1.476
2,11,308.432497622,78.1258628329,Atennisball2.png,311,66,12.3947012026,2.11373464018,4,1.638
2,12,358.201807561,55.3350410788,Adiamondring3.png,12,-225,445.469894398,2.79422252253,3,1.593
2,10,-213.160879791,207.273159095,Anailscissors.png,-222,79,128.577344001,1.96046372876,4,0.717
2,2,-77.2774817819,172.579896335,26687325.thl.png,177,-59,343.927733874,2.65941013768,3,0.919
2,25,18.0841522537,-304.686383558,Aspraybottle4.png,-2,-361,59.7879299572,3.03387797438,4,1.003
2,23,-286.259204953,-173.169007903,Aflask19.png,-239,-219,65.8324562001,1.66909206286,4,1.846
2,11,235.629592566,94.0284555658,23029830.thl.png,322,23,111.825260028,2.41837852821,4,0.615
2,24,246.940864795,216.338647563,26418207.thl.png,205,171,61.7626837388,1.93808961101,4,2.089
2,23,92.9903262295,302.082098608,Agarbagebag.png,71,201,103.44643593,2.39066840708,4,1.178
2,12,145.137687812,33.9510369943,26375982.thl.png,164,10,30.4867019235,4.2691103965,4,1.287
2,0,-317.881282312,86.582476369,Ascarf7.png,-324,34,52.9372791825,2.01427356899,4,1.138
2,24,-107.66555362,387.025724702,26444138.thl.png,-123,372,21.468992724,1.92057321966,4,1.022
2,0,-365.651806119,-70.2171498933,ACASSETT2.png,-244,-212,186.819534622,4.82546902448,4,0.9
2,25,190.368064711,-37.1918444934,ATIE16.png,257,-238,211.574407995,3.54677638784,1,0.772
2,2,-135.948968765,173.057495129,AFISHNET3.png,297,94,440.107824392,4.05825008452,0,1.042
2,10,-202.663897024,-300.812463235,ACOMB11.png,-179,-301,23.6646401287,1.66857874952,4,0.664
2,1,404.657689268,-35.9660121068,APLASCONT.png,275,-9,132.432179606,3.88806772605,3,1.111
2,2,341.364794048,-128.533103951,Ababybottle15.png,251,-80,102.573184519,2.18821915612,3,1.203
2,10,361.194684496,-227.934722725,Alipstick3.png,303,-237,58.8965241394,1.71151043847,4,1.207
2,11,-95.9573407053,-333.006630032,Ashovel8.png,-175,-204,151.295910654,3.31847161986,3,0.732
2,11,-185.272105149,-133.382967516,Aashtray67.png,-180,-140,8.46050894395,1.91160290129,4,1.536
2,12,-338.336433142,-189.848840782,Alanter59.png,-271,-206,69.2463368876,1.58506358787,3,0.931
2,23,178.983147303,389.821771792,ACANE2.png,129,396,50.3635336138,2.74246686883,3,1.204
2,25,150.281205175,-287.163644046,ABABYPIN2.png,217,-248,77.3640006582,3.02698240615,4,2.009
2,2,81.0766639555,-335.36638213,26387436.thl.png,203,-310,124.534144774,1.45236531086,4,1.811
2,0,34.0456259395,-355.325889917,Agreenlighter.png,48,-280,76.6075338802,4.8446270097,3,1.609
2,24,-145.390135178,-12.2125160153,Afloweredsan3.png,-128,127,140.294481063,2.12631189451,5,0.744
2,1,255.078365761,-153.838883052,ACUPEANE2.png,208,-185,56.4569546838,1.6809157189,4,1.983
2,25,-191.295813496,-234.151499399,Ahotwaterbot2.png,-161,-284,58.3327466146,1.6524445843,3,1.119
2,24,306.194731278,148.484478485,ACOMPAS20.png,268,78,80.1679437477,2.57842901535,3,1.625
2,23,48.2006253383,242.395110648,A1OCLOC2.png,275,32,309.360726227,3.30717601068,3,1.423
2,12,200.499777609,183.141811506,Abinder6.png,-159,-176,508.156403947,3.50113743171,1,0.694
2,10,-240.797885925,150.096678384,Aearsyringe.png,-255,54,97.1404737515,1.44241054356,4,1.834
2,0,-158.180043514,-175.921550085,Asafetybelt.png,-132,-169,27.0795593381,2.81207259744,4,1.269
