block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,191.668809474,300.931436837,Adice10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,206.161523257,107.079961031,Ahandheldmir3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-321.06241713,-27.7945420427,AJOYSTIC1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-252.863672776,-7.09911539387,AFUNNEL4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-252.863672776,-7.09911539387,AFUNNEL4.png,ACOMB5.png,1,1,1,1.36439162493,-216,-20,39.0558983273,2.06851138175
1,2,study,1,376.693349231,23.1285681415,26434233.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,324.08426206,-244.91906344,AFLOURBA2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,376.693349231,23.1285681415,26434233.thl.png,Apocketwatch.png,1,1,1,1.50374024082,359,-17,43.8560895211,1.95255024731
1,2,test1,2,324.08426206,-244.91906344,AFLOURBA2.png,26442719.thl.png,1,1,1,1.16081434023,227,-258,97.9615477672,2.28705257922
1,2,test1,10,206.161523257,107.079961031,Ahandheldmir3.png,Abinocularca3.png,0,0,1,2.1774479486,298,41,113.140916827,4.4207787523
1,2,study,24,237.124122143,4.95704458467,26374787.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,179.173943292,7.94377562304,Aclamp62.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-165.255092514,222.797353287,Abicycleglove.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,18.7321854666,-214.283888846,26440422.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,305.243118314,-183.309624081,Agreencup2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,18.7321854666,-214.283888846,26440422.thl.png,Agardeningrak.png,1,1,1,1.08931808826,0,-279,67.3726191805,1.79600273073
1,2,study,25,224.147319407,-206.213917791,Acane116.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
