block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,0,study,23,-61.2804279219,-403.354492638,Arecordplaye2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,10,217.29015092,-258.546611222,Anotepad9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,23,-396.719606835,156.777635967,AELECRAZ7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,0,337.274229462,220.04027284,8031659.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,337.274229462,220.04027284,8031659.thl.png,ABOOK23.png,1,1,1,1.83919333247,295,213,42.8564571364,2.20201247046
1,0,study,1,146.89911044,-378.902899642,ADINGHY.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,2,-154.834379101,-72.0018896912,26442809.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,1,146.89911044,-378.902899642,ADINGHY.png,AFLOURBA2.png,1,1,1,2.41091348068,239,-242,164.999932691,2.20256103715
1,0,test1,2,-154.834379101,-72.0018896912,26442809.thl.png,AWALKER11.png,0,0,1,3.16706044856,-145,-23,49.9789976452,1.74641105859
1,0,test1,10,217.29015092,-258.546611222,Anotepad9.png,Arubbergloves.png,0,0,1,2.4422200066,236,-248,21.4776502644,1.84860591637
1,0,study,24,109.778213473,252.42576609,Aclock213.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,25,-325.649353388,239.959442393,ABOWARRO8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,12,-179.778217947,206.079924729,26424087.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,1,93.2908810592,-117.412911752,Apocketwatch.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,24,170.639307643,380.361112992,311-863-217.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,1,93.2908810592,-117.412911752,Apocketwatch.png,Agraduationh2.png,0,0,1,2.19651364302,123,-79,48.5611319628,1.53676110669
1,0,study,25,375.119002302,-202.019097541,8255336.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,11,-333.759030308,-206.998263867,26433849.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,12,-379.403485232,-173.42594229,Acompactdisc2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,23,-61.2804279219,-403.354492638,Arecordplaye2.png,ACHAIR.png,1,1,1,2.64090069127,-7,-293,122.981620175,1.73108592234
1,0,test1,23,-396.719606835,156.777635967,AELECRAZ7.png,AJOYSTIC1.png,1,1,1,1.57808867469,-314,218,102.911181184,2.05486322218
1,0,study,2,67.0958889617,-225.698950837,Aboardgame2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,12,-179.778217947,206.079924729,26424087.thl.png,ACAMLENSE.png,0,0,1,2.50811587321,-234,221,56.2370900304,1.71708040498
1,0,test1,2,67.0958889617,-225.698950837,Aboardgame2.png,ANAPKIN4.png,0,0,1,2.13093482517,10,-293,88.2574175626,1.78877980751
1,0,study,11,283.220567219,15.9695487032,26423873.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,11,-333.759030308,-206.998263867,26433849.thl.png,8245419.thl.png,0,0,1,3.60750358971,-182,-123,173.454638488,1.98510217946
1,0,test1,12,-379.403485232,-173.42594229,Acompactdisc2.png,AARROWS2.png,1,1,1,2.47012423864,-309,-133,81.1844045539,2.37439846923
1,0,study,10,-261.208407274,294.474113142,Abottleofwin4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,24,109.778213473,252.42576609,Aclock213.png,8079436.thl.png,1,1,1,2.6417904112,157,-123,378.383935926,2.06550923665
1,0,test1,25,-325.649353388,239.959442393,ABOWARRO8.png,AAGATE.png,1,1,1,2.49087231397,-253,279,82.4748063712,2.20639923913
1,0,test1,24,170.639307643,380.361112992,311-863-217.png,Acamcorde.png,1,1,1,2.14093659515,236,302,102.041580421,1.48796744086
1,0,test1,11,283.220567219,15.9695487032,26423873.thl.png,Aseat3.png,0,0,1,2.5683089972,0,0,283.670435861,1.16930390778
1,0,test1,25,375.119002302,-202.019097541,8255336.thl.png,26424443.thl.png,1,1,1,2.60281857266,325,-210,50.7504600554,2.05379518121
1,0,test1,10,-261.208407274,294.474113142,Abottleofwin4.png,26432148.thl.png,1,1,1,2.08129317407,-275,290,14.499162677,1.90842109011
1,0,study,0,227.926483916,152.858150296,26377777.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,227.926483916,152.858150296,26377777.thl.png,AMASCARA.png,1,1,1,1.80766472616,228,143,9.85842441118,1.86196398945
1,0,study,0,245.962067933,300.250551194,Abicyclerepa3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,245.962067933,300.250551194,Abicyclerepa3.png,Ababycup2.png,1,1,1,1.61804727348,228,265,39.5630793021,1.73157139099
1,0,study,23,-218.761590386,156.738851434,Acandlehold17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,10,-10.8196575194,-278.051525242,ALUNCHBO3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,24,-304.560536176,63.1314716641,ACONSTHA2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,0,44.4706687452,-159.196002818,AHUNTVES2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,44.4706687452,-159.196002818,AHUNTVES2.png,APUTTER.png,1,1,1,1.35243708105,104,-159,59.5296539276,2.07299258583
1,0,study,23,-291.295116136,-122.04538337,Agardeningrak.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,12,240.941095287,-114.245201014,Aconchshe.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,24,158.039897909,22.1573927404,Afirstaidkit3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,25,-220.462673401,-242.689885028,8253370.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,11,228.23157286,102.183666414,8021822.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,25,-100.23948372,271.086526588,ABPIECE2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,10,-10.8196575194,-278.051525242,ALUNCHBO3.png,8248429.thl.png,1,1,1,2.29655813915,2,-287,15.6338996865,1.78113092505
1,0,study,1,-249.595152696,-37.6113265292,Abicycleshoe.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,2,299.39846825,272.895291994,Aclog6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,1,-249.595152696,-37.6113265292,Abicycleshoe.png,Aabacus.png,1,1,1,1.65251467773,-195,-106,87.5079502504,1.46157443011
1,0,test1,2,299.39846825,272.895291994,Aclog6.png,26424291.thl.png,1,1,1,2.42324196361,235,224,80.8573576869,1.41900281585
1,0,test1,12,240.941095287,-114.245201014,Aconchshe.png,26426317.thl.png,0,0,1,1.46176237823,275,37,155.032641144,2.31101842481
1,0,test1,11,228.23157286,102.183666414,8021822.thl.png,ACLARINE5.png,0,0,1,3.44448501174,238,150,48.8039335135,2.10962191573
1,0,test1,23,-218.761590386,156.738851434,Acandlehold17.png,Abooties4.png,1,1,1,1.53580702934,0,0,269.116519331,1.12175839045
1,0,study,12,331.748216344,-236.238154787,Ababseat2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,24,-304.560536176,63.1314716641,ACONSTHA2.png,Acampingcoffe.png,0,0,1,2.75341753149,-300,9,54.3232428591,1.63534411672
1,0,study,11,-393.456724641,-106.874760764,AFOODBLEN.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,23,-291.295116136,-122.04538337,Agardeningrak.png,Afloppydisk6.png,1,1,1,1.74855752569,-238,-39,98.675757423,2.46711550117
1,0,study,10,0.629143643407,226.535705693,ACOMPACT.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,24,158.039897909,22.1573927404,Afirstaidkit3.png,23041782.thl.png,0,0,1,2.59023698396,201,21,42.9756899846,1.74543875549
1,0,test1,25,-220.462673401,-242.689885028,8253370.thl.png,26442719.thl.png,0,0,1,2.29808218474,-205,-210,36.1624508548,1.90936240996
1,0,test1,25,-100.23948372,271.086526588,ABPIECE2.png,ABLLIGHTB.png,0,0,1,1.60790795228,-11,296,92.6518570349,2.36510890722
1,0,test1,12,331.748216344,-236.238154787,Ababseat2.png,26424478.thl.png,0,0,1,2.64446817548,305,-165,76.094295286,2.10164522077
1,0,test1,11,-393.456724641,-106.874760764,AFOODBLEN.png,AFIREPANT.png,0,0,1,2.07718708739,-345,-183,90.2391611867,2.58420203812
1,0,test1,10,0.629143643407,226.535705693,ACOMPACT.png,26424133.thl.png,1,1,1,1.65888718329,13,302,76.4715489728,2.28418368357
1,0,study,1,314.87474604,164.972577524,26374055.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,2,-101.357395302,204.728327496,26421357.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,1,314.87474604,164.972577524,26374055.thl.png,Atennisball2.png,1,1,1,2.02213748079,289,166,25.8951362151,1.97056368063
1,0,test1,2,-101.357395302,204.728327496,26421357.thl.png,Abandleaders2.png,0,0,1,1.5589694865,-117,188,22.9025767662,2.61703842017
1,0,study,24,221.171765716,-6.71263266154,Apowerbar7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,11,114.995446914,-242.463359848,AFILEFOL4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,25,117.394782237,343.29361944,Acamerabag.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,12,-90.8362962653,-251.318925755,Adress6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,0,-98.0616780038,-179.106195699,8021410.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,-98.0616780038,-179.106195699,8021410.thl.png,ABIKLIGHT.png,0,0,1,1.42950768163,-133,-149,46.1201622222,1.86241549766
1,0,study,23,-307.219139517,-72.3420153607,ACUSHIO12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,0,-384.280103732,77.7242320493,AFLUTE6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,-384.280103732,77.7242320493,AFLUTE6.png,26772987.thl.png,1,1,1,2.27330600424,-325,81,59.3705428151,1.70551661076
1,0,study,24,-65.1473928382,-333.194151974,dvdmovie.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,25,-151.750883328,14.6528228962,AADDBOOK.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,11,114.995446914,-242.463359848,AFILEFOL4.png,26421368.thl.png,0,0,1,1.98855930311,3,-247,112.087292916,1.70463997056
1,0,study,2,-179.288349649,-348.49760551,Abox80.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,12,-90.8362962653,-251.318925755,Adress6.png,AKNIFE13.png,0,0,1,2.21348446677,-120,-123,131.59129273,2.20716966642
1,0,test1,2,-179.288349649,-348.49760551,Abox80.png,AELEAGEN3.png,1,1,1,3.74896070035,-171,-308,41.3370631754,3.90067282156
1,0,study,23,-267.233926235,12.2781298728,26440422.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,1,291.802970477,-154.322898857,ADRUM12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,10,-362.421653557,30.9617390711,ASKIPROP2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
