block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,340.430062651,-13.8456102777,22822309.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,180.738648447,120.916320078,26377777.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,295.402088608,28.6739572828,ACHAIR.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,114.531802029,234.655748046,Aantiquecigar.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,114.531802029,234.655748046,Aantiquecigar.png,Aboots56.png,1,1,1,1.28771744482,118,212,22.919670955,2.01166515704
1,2,study,1,113.604952412,-217.564366765,DSCN6303-sm.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,158.266281033,355.361413318,Ababytableand.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,113.604952412,-217.564366765,DSCN6303-sm.png,Aseat3.png,1,1,1,1.68421338405,53,-163,81.5489446736,1.564724572
1,2,test1,2,158.266281033,355.361413318,Ababytableand.png,8020414.thl.png,1,1,1,1.29394002445,160,210,145.371751944,1.54942406341
1,2,test1,10,180.738648447,120.916320078,26377777.thl.png,Agardeningrak.png,0,0,1,1.51166785695,260,130,79.7801672783,2.98405982181
1,2,study,24,-357.420436089,-171.783352742,26378596.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-12.3698056064,153.248990493,Afirstaidkit3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-145.904675129,-19.358822838,ACURLIR13.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,293.755764192,293.255825865,Ababseat2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-220.108907219,271.200579475,22910996.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,293.755764192,293.255825865,Ababseat2.png,26373407.thl.png,1,1,1,1.79808024876,207,234,105.061008559,1.53696066514
1,2,study,25,58.9780258334,402.253252689,9815480.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,393.380731203,-150.186457484,driverlicencepitt.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,232.049672412,-283.022745491,ADINGHY.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,340.430062651,-13.8456102777,22822309.thl.png,AFIRSTA15.png,0,0,1,1.95475952514,378,20,50.5670399317,1.67030589283
1,2,test1,23,295.402088608,28.6739572828,ACHAIR.png,Adigitalcamer.png,1,1,1,1.20386127476,174,5,123.688816681,1.3347921893
1,2,study,2,283.82079318,-109.728353298,26391514.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,12,-145.904675129,-19.358822838,ACURLIR13.png,Aadjustablec2.png,1,1,1,1.71907458827,-274,-10,128.436754158,1.24932042789
1,2,test1,2,283.82079318,-109.728353298,26391514.thl.png,gameboy.png,0,0,1,2.16076896898,241,79,193.525222302,1.71831340343
1,2,study,11,-228.295828069,355.483401377,AFILEFOL4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,11,393.380731203,-150.186457484,driverlicencepitt.png,8055181.thl.png,1,1,1,1.57911133673,351,-197,63.1477168246,1.96642878745
1,2,test1,12,232.049672412,-283.022745491,ADINGHY.png,Abrownbagwith.png,1,1,1,1.48262476642,169,-290,63.4345589699,1.19947361387
1,2,study,10,-7.17906428891,-244.196126806,26772987.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,-357.420436089,-171.783352742,26378596.thl.png,Arubbergloves.png,0,0,1,1.83781720046,-408,4,182.91549794,2.20557940751
1,2,test1,25,-12.3698056064,153.248990493,Afirstaidkit3.png,26432148.thl.png,1,1,1,1.535449747,-64,338,191.829644443,1.56680088956
1,2,test1,24,-220.108907219,271.200579475,22910996.thl.png,Aelectronicor.png,1,1,1,2.03187444992,-226,288,17.8024016391,1.80367386434
1,2,test1,11,-228.295828069,355.483401377,AFILEFOL4.png,Arubberducky2.png,0,0,1,1.4723449992,186,243,429.294244943,1.80474351905
1,2,test1,25,58.9780258334,402.253252689,9815480.thl.png,26374055.thl.png,0,0,1,1.97857007012,-18,325,109.05815656,1.13779618032
1,2,test1,10,-7.17906428891,-244.196126806,26772987.thl.png,Apairofrubbe3.png,0,0,1,1.37823659182,-180,-190,181.119562668,2.20506586321
1,2,study,0,-197.489740732,80.720710791,26433849.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-197.489740732,80.720710791,26433849.thl.png,26442719.thl.png,1,1,1,0.957086146809,-150,111,56.3214952727,1.28096095752
1,2,study,0,236.152841243,168.784423648,ASHAMPO2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,236.152841243,168.784423648,ASHAMPO2.png,AHARMONS2.png,1,1,1,1.33541112114,168,120,83.81366094,1.29576602206
