block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,-317.642913192,-66.7968865835,Aglass58.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,145.41536209,-66.5746504358,ACUSHIO12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-125.254251169,-378.4048432,Aadjustablec2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,270.967688968,-204.056494578,Ababseat2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,270.967688968,-204.056494578,Ababseat2.png,26394018.thl.png,0,0,1,1.40413700975,200,-195,71.5432244972,1.23129193066
1,2,study,1,141.268003866,61.3234856128,Asandal7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,214.623241569,217.314132326,Abox80.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,141.268003866,61.3234856128,Asandal7.png,26772987.thl.png,1,1,1,1.52058711974,131,150,89.2690097808,1.16752710845
1,2,test1,2,214.623241569,217.314132326,Abox80.png,23041782.thl.png,1,1,1,1.80883047497,-147,181,363.441996816,1.59802419972
1,2,test1,10,145.41536209,-66.5746504358,ACUSHIO12.png,22822309.thl.png,1,1,1,1.50559066143,150,-45,22.0563924112,1.47619544901
1,2,study,24,200.980351647,49.7425217791,8052266.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,55.1557451275,359.475177155,8021410.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-117.769685932,132.446898498,Acork6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,145.995818846,-331.019963422,26688546.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-370.580582878,-75.2237180519,26424291.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,145.995818846,-331.019963422,26688546.thl.png,26421382.thl.png,0,0,1,1.56915760133,94,-289,66.8523934009,1.69534767466
1,2,study,25,315.897614387,-51.4653955867,26421740.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-20.5413359047,-207.827238009,Abicyclerepa3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-230.712342567,73.2797398165,Abeany2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,-317.642913192,-66.7968865835,Aglass58.png,9815480.thl.png,0,1,0,2.26085838489,-150,-190,208.04603697,1.60153503763
1,2,test1,23,-125.254251169,-378.4048432,Aadjustablec2.png,ACUSHIO60.png,1,1,1,1.86225215392,262,75,596.273265278,0.935452615842
1,2,study,2,154.828899205,8.53914921165,26375641.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,12,-117.769685932,132.446898498,Acork6.png,AFOODBLEN.png,1,0,0,3.91983165499,-2,1,175.159662325,0.236240296625
1,2,test1,2,154.828899205,8.53914921165,26375641.thl.png,Abinocularca3.png,1,1,1,1.92123302724,-364,-127,536.240885815,2.14315597294
1,2,study,11,35.2498689648,155.467395476,Aabacus.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,11,-20.5413359047,-207.827238009,Abicyclerepa3.png,Aclamp62.png,0,0,1,2.25113135064,-125,132,355.519569359,0.985543963965
1,2,test1,12,-230.712342567,73.2797398165,Abeany2.png,Apinkshoe.png,1,1,1,1.22778626531,-135,47,99.2546081774,4.34324328089
1,2,study,10,-6.19602556194,190.2678062,8255336.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,200.980351647,49.7425217791,8052266.thl.png,ACOWCREAM.png,1,1,1,2.70193392085,-292,-267,585.965401891,0.867246697657
1,2,test1,25,55.1557451275,359.475177155,8021410.thl.png,Acampingknife.png,1,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,-370.580582878,-75.2237180519,26424291.thl.png,ACHAIR.png,1,1,1,1.39278275194,-297,-114,83.1727252074,1.54720929964
1,2,test1,11,35.2498689648,155.467395476,Aabacus.png,Adress6.png,1,1,1,1.42496775882,113,123,84.2568373785,1.31847780431
1,2,test1,25,315.897614387,-51.4653955867,26421740.thl.png,26424478.thl.png,1,1,1,1.18673743634,67,127,306.267725804,1.20920941234
1,2,test1,10,-6.19602556194,190.2678062,8255336.thl.png,Arecordplaye2.png,0,0,1,1.69007059699,253,-112,398.181373663,1.36459357664
1,2,study,0,292.191860656,261.811992876,Aboardgame2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,292.191860656,261.811992876,Aboardgame2.png,22925624.thl.png,0,0,1,1.03652447648,250,203,72.3809616661,1.40768561652
1,2,study,0,346.239174948,121.423108041,26440422.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,346.239174948,121.423108041,26440422.thl.png,8248429.thl.png,0,0,1,0.89526775945,411,149,70.3878500273,2.32055877661
1,2,study,23,-29.0870926062,-307.194053248,AFLUTE6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,-236.580955639,-40.5504604121,8245419.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-229.951748314,330.582445678,Aconchshe.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,308.643537902,-116.844601568,ABANJO5.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,308.643537902,-116.844601568,ABANJO5.png,Ababmonit.png,1,1,1,1.93275777157,343,-112,34.6963492636,1.21662763972
1,2,study,23,-103.356600987,375.476563571,ASCALE30.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,5.65456808533,-426.354021174,ABPIECE2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-265.04375193,-157.72113365,driverlicencepitt.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-216.551848536,-280.158130758,ASKIPROP2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-265.089060558,-98.5282720141,Acamcorde.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-291.359083284,124.607200978,26455183.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,10,-236.580955639,-40.5504604121,8245419.thl.png,ACONSTHA2.png,0,0,1,2.30038319249,113,-184,377.86851543,1.10713015962
