block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,145.289546886,378.417777826,AHANDPRE3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,-49.0781844234,176.378575145,26387690.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-43.870032103,-242.598299737,26424291.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,220.738786542,-50.2531043261,26378596.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,220.738786542,-50.2531043261,26378596.thl.png,22875816.thl.png,1,1,1,1.27053147461,190,-75,39.4624105139,2.55522236973
1,2,study,1,-273.077091324,40.3146714637,ASUNBOX5.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,-96.9277466183,344.678994077,Aadjustablec2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-273.077091324,40.3146714637,ASUNBOX5.png,Achildsplaype.png,0,0,1,1.08078988828,-314,47,41.4653840229,4.07328185439
1,2,test1,2,-96.9277466183,344.678994077,Aadjustablec2.png,Apocketwatch.png,1,1,1,1.20185577683,-36,319,66.1180840979,6.0030079037
1,2,test1,10,-49.0781844234,176.378575145,26387690.thl.png,ABABYDOLL.png,0,0,1,1.21097962186,-80,135,51.6560273305,2.33545012306
1,2,study,24,146.322922807,-283.011656458,ACONSTHA2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-202.433458898,350.141909038,8021743.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,382.889290792,-39.2397639461,8254014.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,-139.225429402,112.403645853,airbottle1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-140.220553611,216.022780629,excedrin.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-139.225429402,112.403645853,airbottle1.png,AGLASSCAS.png,1,1,1,1.0029673595,-134,117,6.95928041417,2.31312908418
1,2,study,25,35.8846576194,367.976540401,AFLOURBA2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,326.430045104,-161.588663398,23041782.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
