block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,0,study,23,-174.462826518,216.267867678,Abasket110.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,10,38.4705425738,-239.758384436,Ababycup2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,23,-262.001073188,-151.500876016,ASKIPROP2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,0,-283.987585378,114.297534575,Abooties4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,0,-283.987585378,114.297534575,Abooties4.png,26428057.thl.png,1,1,1,2.69118782878,-287,50,64.3680634658,2.35506602563
1,0,study,1,221.780605747,341.846651647,ALUNCHBO3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,2,-422.594773069,-8.46411267001,26455183.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,1,221.780605747,341.846651647,ALUNCHBO3.png,ABOOK23.png,0,0,1,2.02974114101,262,208,139.758813072,1.33414494805
1,0,test1,2,-422.594773069,-8.46411267001,26455183.thl.png,ANAPKIN4.png,0,0,1,1.55571676232,-338,5,85.6595468149,5.07681114599
1,0,test1,10,38.4705425738,-239.758384436,Ababycup2.png,driverlicencepitt.png,1,1,1,2.3876979351,-75,-346,155.444025005,2.31780110952
1,0,study,24,-145.251500887,282.574019112,23041782.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,25,97.4893826329,-318.816911027,AADDBOOK.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,12,179.333383529,-115.85359718,ACOOKCUTT.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,1,165.305779174,385.868539048,Aconchshe.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,24,231.540165865,-27.787712133,ADOLL69.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,1,165.305779174,385.868539048,Aconchshe.png,ASCALE30.png,0,0,1,2.0948545346,144,321,68.2778410936,1.76356375124
1,0,study,25,182.79311161,-288.506956663,AELEAGEN3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,11,204.726101323,-166.893602452,22911908.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,study,12,-238.018810062,255.61179476,Aclog6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,test1,23,-174.462826518,216.267867678,Abasket110.png,ASHAMPO2.png,1,1,1,2.9155679578,-119,-226,445.73197317,2.14273779932
1,0,test1,23,-262.001073188,-151.500876016,ASKIPROP2.png,Afloppydisk6.png,1,1,1,1.92915006075,-288,-202,56.7988179326,2.5963349333
1,0,study,2,-376.861036871,-154.715280956,8021504.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
